court_id,site_id,osm_ref,sport,role,parent_id,lat,lon,length_m,width_m,angle_deg,n_in_feature,n_children,n_overlay,subdivided,guessed,oversized,derived,ring
oh_4012997_-8301989:f399491,oh_4012997_-8301989,way/1435165877,tennis,court,,40.129969,-83.0198002,23.9,10.9,85.9,1,0,0,False,False,False,,"[[-83.0197429, 40.1298589], [-83.0197293, 40.1300743], [-83.0198574, 40.1300791], [-83.019871, 40.1298637]]"
oh_4013026_-8305162:f57d14f,oh_4013026_-8305162,way/554444573,tennis,court,,40.1302624,-83.0516233,32.4,14.3,86.2,1,0,0,False,False,False,,"[[-83.0515478, 40.1301141], [-83.0515315, 40.1304052], [-83.0516987, 40.1304107], [-83.051715, 40.1301196]]"
oh_4013042_-8462525:f7cf198,oh_4013042_-8462525,way/819275412,tennis,court,,40.1304239,-84.6252489,30.5,17.3,86.4,1,0,0,False,False,False,,"[[-84.6251514, 40.1302849], [-84.6251437, 40.1305596], [-84.6253463, 40.1305629], [-84.625354, 40.1302882]]"
oh_4013072_-8443031:ffc7599,oh_4013072_-8443031,way/637932945,tennis,court,,40.1307164,-84.4303121,23.5,10.3,95.0,1,0,0,False,False,False,,"[[-84.4302349, 40.1306173], [-84.4302693, 40.1308271], [-84.4303894, 40.1308155], [-84.430355, 40.1306057]]"
oh_4013120_-8293572:f5fa8a0,oh_4013120_-8293572,way/465291380,tennis,court,,40.1313671,-82.9358986,23.7,10.9,86.8,1,0,0,False,False,False,,"[[-82.9358395, 40.1312586], [-82.93583, 40.1314722], [-82.9359577, 40.1314755], [-82.9359672, 40.1312619]]"
oh_4013120_-8293572:fd22280,oh_4013120_-8293572,way/465291381,tennis,court,,40.1313533,-82.9355346,23.8,11.3,86.7,1,0,0,False,False,False,,"[[-82.9354736, 40.1312442], [-82.9354634, 40.1314588], [-82.9355957, 40.1314625], [-82.9356059, 40.1312479]]"
oh_4013120_-8293572:fa657a3,oh_4013120_-8293572,way/465291382,tennis,court,,40.131032,-82.9359115,23.6,9.8,87.1,1,0,0,False,False,False,,"[[-82.9358582, 40.1309243], [-82.93585, 40.131137], [-82.9359648, 40.1311396], [-82.935973, 40.1309269]]"
oh_4013120_-8293572:f840397,oh_4013120_-8293572,way/465291383,tennis,court,,40.1313622,-82.9357185,23.6,11.3,87.0,1,0,0,False,False,False,,"[[-82.9356567, 40.1312543], [-82.9356481, 40.1314671], [-82.9357803, 40.1314702], [-82.9357889, 40.1312574]]"
oh_4013120_-8293572:f66eb33,oh_4013120_-8293572,way/465291384,tennis,court,,40.1310294,-82.9357376,22.9,10.7,87.1,1,0,0,False,False,False,,"[[-82.9356788, 40.1309247], [-82.935671, 40.1311313], [-82.9357964, 40.1311341], [-82.9358042, 40.1309275]]"
oh_4013120_-8293572:f159ba2,oh_4013120_-8293572,way/465291385,tennis,court,,40.1310253,-82.9355495,23.3,10.6,86.9,1,0,0,False,False,False,,"[[-82.9354918, 40.1309188], [-82.9354831, 40.1311289], [-82.9356073, 40.1311319], [-82.935616, 40.1309218]]"
oh_4013267_-8325320:fb17f5c,oh_4013267_-8325320,way/574655471,tennis,court,,40.1326675,-83.2532023,37.2,20.8,129.5,1,0,0,False,False,False,,"[[-83.2529672, 40.1326022], [-83.2532534, 40.1328553], [-83.2534374, 40.1327327], [-83.2531512, 40.1324796]]"
oh_4013351_-8298019:f0addf2,oh_4013351_-8298019,way/557559641,tennis,court,,40.1332794,-82.9800123,36.6,18.3,86.3,6,0,0,True,False,False,,"[[-82.979914, 40.1331113], [-82.9798961, 40.1334406], [-82.9801107, 40.1334475], [-82.9801285, 40.1331181]]"
oh_4013351_-8298019:f7fa68b,oh_4013351_-8298019,way/557559641,tennis,court,,40.1332874,-82.980264,36.6,18.3,86.3,6,0,0,True,False,False,,"[[-82.9801657, 40.1331193], [-82.9801478, 40.1334487], [-82.9803623, 40.1334555], [-82.9803802, 40.1331262]]"
