site_id,lat,lon,n_features,sports,has_tennis,has_pickleball,has_padel,extent_m,oversized,any_indoor,osm_refs,state
oh_4130183_-8206282,41.301829,-82.062816,3,tennis,True,False,False,46.4,False,False,way/1156984508;way/1156984511;way/1156984515,OH
oh_4130189_-8206102,41.301888,-82.061021,2,tennis,True,False,False,37.3,False,False,way/1156984506;way/1156984510,OH
oh_4130726_-8221238,41.307257,-82.212382,1,tennis,True,False,False,30.4,False,False,way/296944999,OH
oh_4133890_-8210548,41.338905,-82.105478,1,tennis,True,False,False,38.8,False,False,way/1323631715,OH
oh_4134520_-8211010,41.345203,-82.1101,8,tennis,True,False,False,92.3,False,False,way/481530288;way/1157072664;way/1157072668;way/1157072669;way/1157072670;way/1374497738;way/1374497752;way/1374497753,OH
oh_4134584_-8206423,41.345844,-82.064232,1,tennis,True,False,False,36.8,False,False,way/254448786,OH
oh_4134821_-8205413,41.348211,-82.054129,2,pickleball,False,True,False,50.0,False,False,way/1263245789;way/1263245790,OH
oh_4134959_-8210289,41.34959,-82.10289,2,tennis,True,False,False,32.5,False,False,way/1157072658;way/1157072660,OH
oh_4135368_-8205494,41.353681,-82.054945,5,pickleball;tennis,True,True,False,39.6,False,False,way/1262944771;way/1262944774;way/1262944775;way/1262944776;way/1262944777,OH
oh_4137915_-8213438,41.379154,-82.134382,4,pickleball,False,True,False,31.8,False,False,way/1463553355;way/1463553365;way/1463553366;way/1463553367,OH
oh_4138197_-8203704,41.381973,-82.037039,6,tennis,True,False,False,63.4,False,False,way/1132335754;way/1132335755;way/1132335756;way/1132335757;way/1132335758;way/1132335759,OH
oh_4138279_-8201729,41.382791,-82.017295,12,pickleball;tennis,True,True,False,56.7,False,False,way/1537254745;way/1537254746;way/1537254747;way/1537254748;way/1537254749;way/1537254750;way/1537254751;way/1537254752;way/1537254753;way/1537254754;way/1537254755;way/1537254756,OH
oh_4138770_-8203250,41.387701,-82.032496,1,tennis,True,False,False,38.1,False,False,way/693352365,OH
oh_4138974_-8200016,41.389737,-82.000162,5,tennis,True,False,False,94.0,False,False,way/1375316691;way/1375316692;way/1375316693;way/1375316694;way/1375316695,OH
oh_4140563_-8197810,41.405634,-81.978101,3,pickleball;tennis,True,True,False,31.7,False,False,way/1554374793;way/1554374794;way/1554374795,OH
oh_4140507_-8222329,41.405065,-82.22329,5,tennis,True,False,False,66.7,False,False,way/1157067992;way/1157067995;way/1157068016;way/1157068018;way/1157068022,OH
oh_4140854_-8208338,41.408544,-82.083381,4,pickleball;tennis,True,True,False,46.3,False,False,way/1374701899;way/1374701900;way/1374701901;way/1374701902,OH
oh_4140956_-8203019,41.409559,-82.030189,2,tennis,True,False,False,27.5,False,False,way/1132260088;way/1132260089,OH
oh_4141357_-8233930,41.413569,-82.339297,1,tennis,True,False,False,25.0,False,False,way/1537257318,OH
oh_4141683_-8207234,41.416828,-82.07234,6,tennis,True,False,False,80.2,False,False,way/920897235;way/920897236;way/920897237;way/920897238;way/920897239;way/920897240,OH
oh_4141975_-8218848,41.419748,-82.188475,2,tennis,True,False,False,24.7,False,False,way/1306008040;way/1306008041,OH
oh_4142511_-8199062,41.425112,-81.990617,4,pickleball,False,True,False,37.5,False,False,way/1421207599;way/1421207600;way/1421207601;way/1421207602,OH
oh_4142723_-8230108,41.427226,-82.301082,2,tennis,True,False,False,26.5,False,False,way/590841219;way/1432944381,OH
oh_4143142_-8202454,41.431425,-82.024538,2,tennis,True,False,False,37.0,False,False,way/1132213685;way/1132213686,OH
oh_4142898_-8231437,41.428975,-82.314375,1,tennis,True,False,False,23.9,False,False,way/590841254,OH
oh_4143758_-8223047,41.437583,-82.230467,5,pickleball;tennis,True,True,False,33.5,False,False,way/1537258616;way/1537258617;way/1537258618;way/1537258619;way/1537258620,OH
oh_4144518_-8203983,41.445181,-82.039834,13,pickleball;tennis,True,True,False,127.8,False,False,way/1157261493;way/1157261494;way/1157261495;way/1157261496;way/1157261497;way/1308662211;way/1308662212;way/1308662213;way/1308662214;way/1308662215;way/1308662216;way/1308662217;way/1308662218,OH
