court_id,site_id,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3911603_-8441090:c015,oh_3911603_-8441090,tennis,removed,2020,2021,0.54,1,True,low_confidence
oh_3927462_-8159118:c001,oh_3927462_-8159118,hybrid,tennis,2020,2022,0.54,1,True,low_confidence;reversion
oh_3934257_-8434321:c001,oh_3934257_-8434321,hybrid,removed,2011,2013,0.54,1,True,low_confidence
oh_3934274_-8456196:c001,oh_3934274_-8456196,removed,hybrid,2011,2013,0.54,1,True,low_confidence;reversion
oh_3974088_-8416067:c003,oh_3974088_-8416067,pickleball,tennis,2019,2021,0.54,1,True,low_confidence;reversion
oh_3977826_-8412489:c001,oh_3977826_-8412489,tennis,hybrid,2019,2021,0.54,1,True,low_confidence
oh_4025708_-8184780:c002,oh_4025708_-8184780,hybrid,tennis,2013,2015,0.54,1,True,low_confidence;reversion
oh_4076750_-8384094:c004,oh_4076750_-8384094,hybrid,tennis,2019,2021,0.54,1,True,low_confidence;reversion
oh_4085300_-8434192:c001,oh_4085300_-8434192,tennis,hybrid,2017,2019,0.54,1,True,low_confidence
oh_3906631_-8437916:c001,oh_3906631_-8437916,removed,hybrid,2020,2021,0.541,1,True,low_confidence;reversion
oh_3911603_-8441090:c014,oh_3911603_-8441090,tennis,hybrid,2016,2018,0.541,1,True,low_confidence
oh_3912846_-8450078:c001,oh_3912846_-8450078,tennis,removed,2016,2019,0.541,1,True,low_confidence
oh_3914460_-8428356:c001,oh_3914460_-8428356,tennis,removed,2019,2021,0.541,1,True,low_confidence
oh_3914692_-8360203:c001,oh_3914692_-8360203,hybrid,tennis,2015,2017,0.541,1,True,low_confidence;reversion
oh_3915185_-8434722:c001,oh_3915185_-8434722,tennis,hybrid,2021,2023,0.541,1,True,low_confidence
oh_3927210_-8476723:c001,oh_3927210_-8476723,tennis,removed,2013,2019,0.541,1,True,low_confidence
oh_3949106_-8429745:c004,oh_3949106_-8429745,hybrid,tennis,2013,2015,0.541,1,True,low_confidence;reversion
oh_4004131_-8302172:c008,oh_4004131_-8302172,tennis,hybrid,2019,2021,0.541,1,True,low_confidence
oh_4047133_-8253923:c002,oh_4047133_-8253923,hybrid,tennis,2021,2023,0.541,1,True,low_confidence;reversion
oh_4129579_-8259692:c004,oh_4129579_-8259692,hybrid,tennis,2015,2017,0.541,1,True,low_confidence;reversion
oh_4135776_-8187861:c001,oh_4135776_-8187861,removed,tennis,2017,2019,0.541,1,True,low_confidence;reversion
oh_3904966_-8434988:c003,oh_3904966_-8434988,hybrid,tennis,2015,2016,0.542,1,True,low_confidence;reversion
oh_3922553_-8437384:c002,oh_3922553_-8437384,tennis,removed,2017,2019,0.542,1,True,low_confidence
oh_3978136_-8418128:c002,oh_3978136_-8418128,tennis,removed,2021,2023,0.542,1,True,low_confidence
oh_4015629_-8309838:c006,oh_4015629_-8309838,hybrid,tennis,2019,2021,0.542,1,True,low_confidence;reversion
oh_4117037_-8343317:c001,oh_4117037_-8343317,tennis,hybrid,2019,2021,0.542,1,True,low_confidence
oh_4145883_-8457109:c003,oh_4145883_-8457109,removed,tennis,2017,2019,0.542,1,True,low_confidence;reversion
oh_4146018_-8197636:c002,oh_4146018_-8197636,tennis,removed,2011,2015,0.542,1,True,low_confidence
oh_4146826_-8193200:c002,oh_4146826_-8193200,hybrid,tennis,2021,2023,0.542,1,True,low_confidence;reversion
oh_4150486_-8293608:c003,oh_4150486_-8293608,hybrid,tennis,2013,2015,0.542,1,True,low_confidence;reversion
oh_4156941_-8284938:c002,oh_4156941_-8284938,removed,hybrid,2015,2019,0.542,1,True,low_confidence;reversion
oh_3918285_-8443055:c001,oh_3918285_-8443055,tennis,pickleball,2021,2023,0.543,,True,low_confidence
oh_3922786_-8441229:c001,oh_3922786_-8441229,tennis,removed,2019,2021,0.543,1,True,low_confidence
oh_3939654_-8454031:c003,oh_3939654_-8454031,tennis,hybrid,2021,2023,0.543,1,True,low_confidence
oh_3962612_-8418365:c001,oh_3962612_-8418365,tennis,hybrid,2017,2019,0.543,1,True,low_confidence
oh_4154340_-8360518:c001,oh_4154340_-8360518,tennis,hybrid,2019,2021,0.543,1,True,low_confidence
oh_3888375_-8296506:c003,oh_3888375_-8296506,tennis,hybrid,2017,2019,0.544,1,True,low_confidence
oh_3918508_-8438883:c005,oh_3918508_-8438883,hybrid,pickleball,2021,2023,0.544,,True,low_confidence
oh_3966068_-8413356:c001,oh_3966068_-8413356,hybrid,tennis,2021,2023,0.544,1,True,low_confidence;reversion
oh_3977723_-8418023:c007,oh_3977723_-8418023,pickleball,removed,2021,2023,0.544,1,True,low_confidence
oh_3995300_-8293687:c004,oh_3995300_-8293687,tennis,pickleball,2019,2021,0.544,,True,low_confidence
oh_4001374_-8306353:c006,oh_4001374_-8306353,tennis,hybrid,2015,2019,0.544,1,True,low_confidence
oh_4012358_-8304591:c009,oh_4012358_-8304591,tennis,hybrid,2021,2023,0.544,1,True,low_confidence
oh_4130183_-8206282:c001,oh_4130183_-8206282,hybrid,removed,2021,2023,0.544,1,True,low_confidence
oh_4150354_-8372875:c002,oh_4150354_-8372875,tennis,removed,2021,2023,0.544,1,True,low_confidence
oh_3931808_-8451108:c002,oh_3931808_-8451108,tennis,pickleball,2015,2019,0.545,1,True,low_confidence
oh_3932508_-8455465:c004,oh_3932508_-8455465,tennis,hybrid,2017,2019,0.545,1,True,low_confidence
oh_3934257_-8434321:c001,oh_3934257_-8434321,removed,pickleball,2019,2021,0.545,,True,low_confidence;reversion
oh_3969236_-8410846:c003,oh_3969236_-8410846,tennis,removed,2015,2017,0.545,1,True,low_confidence
oh_4054377_-8191796:c002,oh_4054377_-8191796,removed,pickleball,2019,2021,0.545,,True,low_confidence;reversion
oh_4108114_-8240539:c003,oh_4108114_-8240539,tennis,hybrid,2017,2019,0.545,1,True,low_confidence
oh_3908015_-8461682:c002,oh_3908015_-8461682,removed,tennis,2016,2017,0.546,1,True,low_confidence;reversion
oh_3927366_-8444324:c002,oh_3927366_-8444324,removed,pickleball,2015,2017,0.546,,True,low_confidence;reversion
oh_3930806_-8450698:c001,oh_3930806_-8450698,tennis,removed,2013,2019,0.546,1,True,low_confidence
oh_3950656_-8475476:c003,oh_3950656_-8475476,tennis,hybrid,2017,2019,0.546,1,True,low_confidence
oh_3999972_-8301999:c012,oh_3999972_-8301999,tennis,hybrid,2017,2019,0.546,1,True,low_confidence
oh_4073606_-8252291:c001,oh_4073606_-8252291,tennis,removed,2011,2023,0.546,1,True,low_confidence
oh_3909556_-8456863:c005,oh_3909556_-8456863,hybrid,tennis,2021,2022,0.547,1,True,low_confidence;reversion
oh_3912657_-8451097:c001,oh_3912657_-8451097,tennis,removed,2021,2022,0.547,1,True,low_confidence
oh_4000053_-8307502:c002,oh_4000053_-8307502,tennis,hybrid,2017,2019,0.547,1,True,low_confidence
oh_4010065_-8278684:c001,oh_4010065_-8278684,hybrid,tennis,2011,2015,0.547,1,True,low_confidence;reversion
oh_4025708_-8184780:c004,oh_4025708_-8184780,tennis,hybrid,2019,2021,0.547,1,True,low_confidence
oh_4130082_-8205958:c004,oh_4130082_-8205958,removed,tennis,2017,2019,0.547,1,True,low_confidence;reversion
oh_3934300_-8436307:c001,oh_3934300_-8436307,tennis,hybrid,2019,2021,0.548,1,True,low_confidence
oh_4000053_-8307502:c004,oh_4000053_-8307502,tennis,hybrid,2017,2019,0.548,1,True,low_confidence
oh_4020139_-8302240:c004,oh_4020139_-8302240,hybrid,tennis,2013,2015,0.548,1,True,low_confidence;reversion
oh_4054377_-8191796:c002,oh_4054377_-8191796,hybrid,removed,2011,2017,0.548,1,True,low_confidence
oh_4151388_-8430871:c004,oh_4151388_-8430871,tennis,removed,2011,2015,0.548,1,True,low_confidence
oh_4158381_-8358523:c003,oh_4158381_-8358523,tennis,removed,2021,2023,0.548,1,True,low_confidence
oh_3911603_-8441090:c010,oh_3911603_-8441090,tennis,hybrid,2012,2013,0.549,1,True,low_confidence
oh_3918015_-8433149:c001,oh_3918015_-8433149,hybrid,tennis,2021,2023,0.549,1,True,low_confidence;reversion
oh_3918285_-8443055:c005,oh_3918285_-8443055,hybrid,tennis,2013,2015,0.549,1,True,low_confidence;reversion
oh_3927740_-8444537:c007,oh_3927740_-8444537,tennis,hybrid,2011,2013,0.549,1,True,low_confidence
oh_3928402_-8433063:c004,oh_3928402_-8433063,tennis,hybrid,2017,2019,0.549,1,True,low_confidence
