court_id,site_id,county,from,to,year_from,year_to,confidence,n_courts_to,flagged,flag_reasons
oh_3908769_-8332067:c001,oh_3908769_-8332067,Pike,removed,tennis,2013,2015,0.727,1,True,reversion
oh_3908769_-8332067:c001,oh_3908769_-8332067,Pike,tennis,hybrid,2021,2023,0.476,1,True,low_confidence
oh_3908846_-8459179:c001,oh_3908846_-8459179,Hamilton,tennis,removed,2012,2017,0.707,1,False,
oh_3908846_-8459179:c002,oh_3908846_-8459179,Hamilton,tennis,removed,2012,2017,0.425,1,True,low_confidence
oh_3909092_-8437299:c001,oh_3909092_-8437299,Hamilton,tennis,hybrid,2022,2023,0.589,1,True,low_confidence
oh_3909546_-8464147:c001,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2019,0.96,1,False,
oh_3909546_-8464147:c002,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2019,0.938,1,False,
oh_3909546_-8464147:c003,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2019,0.839,1,False,
oh_3909546_-8464147:c004,oh_3909546_-8464147,Hamilton,tennis,removed,2018,2019,0.876,1,False,
oh_3909556_-8456863:c002,oh_3909556_-8456863,Hamilton,tennis,removed,2018,2019,0.338,1,True,low_confidence
oh_3909556_-8456863:c003,oh_3909556_-8456863,Hamilton,tennis,hybrid,2019,2020,0.422,1,True,low_confidence
oh_3909556_-8456863:c003,oh_3909556_-8456863,Hamilton,hybrid,tennis,2021,2022,0.4,1,True,low_confidence;reversion
oh_3909556_-8456863:c004,oh_3909556_-8456863,Hamilton,tennis,removed,2016,2017,0.69,1,False,
oh_3909556_-8456863:c004,oh_3909556_-8456863,Hamilton,removed,tennis,2017,2018,0.522,1,True,low_confidence;reversion
oh_3909556_-8456863:c004,oh_3909556_-8456863,Hamilton,tennis,hybrid,2018,2019,0.452,1,True,low_confidence
oh_3909556_-8456863:c004,oh_3909556_-8456863,Hamilton,hybrid,tennis,2021,2022,0.483,1,True,low_confidence;reversion
oh_3909556_-8456863:c005,oh_3909556_-8456863,Hamilton,tennis,removed,2018,2019,0.78,1,False,
oh_3909556_-8456863:c006,oh_3909556_-8456863,Hamilton,tennis,hybrid,2019,2021,0.857,1,False,
oh_3909556_-8456863:c006,oh_3909556_-8456863,Hamilton,hybrid,removed,2022,2023,0.389,1,True,low_confidence
